Raw.file,Condition,BioReplicate,IsotopeLabelType
BM3449,no-treat_less18m,14,L
BM3453,no-treat_less18m,35,L
BM3454,no-treat_less18m,38,L
BM3459,no-treat_less18m,48,L
BM3462,no-treat_less18m,77,L
BM3452,no-treat_more24m,27,L
BM3455,no-treat_more24m,42,L
BM3456,no-treat_more24m,47,L
BM3457,no-treat_more24m,49,L
BM3458,no-treat_more24m,50,L
BM3460,no-treat_more24m,56,L
BM3463,no-treat_more24m,79,L
BM3448,sc-treat_more24m,12,L
BM3450,sc-treat_more24m,18,L
BM3451,sc-treat_more24m,24,L
BM3461,sc-treat_more24m,76,L
BM3467,sc-treat_more24m,94,L
BM3464,sc-treat_less18m,80,L
BM3465,sc-treat_less18m,82,L
BM3466,sc-treat_less18m,84,L
BM3468,sc-treat_less18m,98,L
BM3469,sc-treat_less18m,125,L
